time,ssrd,d2m,t2m
202001010000,0,19.2599,22.15396
202001010030,0,19.043,21.94534
202001010100,0,18.82607,21.73672
202001010130,0,18.56472,21.50918
202001010200,0,18.30337,21.28164
202001010230,0,18.05837,21.08865
202001010300,0,17.81338,20.89565
202001010330,0,17.5557,20.70876
202001010400,0,17.298,20.52188
202001010430,0,16.6725,20.14028
202001010500,0,16.04702,19.7587
202001010530,0,15.72854,19.6735
202001010600,0,15.41006,19.58828
202001010630,0,15.1758,19.55935
202001010700,0,14.94155,19.53042
202001010730,18.10444444,14.82656,19.50295
202001010800,36.20888889,14.71157,19.4755
202001010830,118.6351222,14.68752,19.8439
202001010900,201.0613611,14.66348,20.2123
202001010930,276.4317889,14.81838,20.81252
202001011000,351.8022222,14.9733,21.41274
202001011030,428.3769444,15.1984,21.86074
202001011100,504.9516667,15.4235,22.30874
202001011130,541.1765278,15.71658,22.7588
202001011200,577.4013889,16.00967,23.2089
202001011230,594.0272222,16.17617,23.48257
202001011300,610.6530556,16.34268,23.75625
202001011330,620.79,16.522,23.9241
202001011400,630.9269444,16.70132,24.09194
202001011430,571.6688889,16.6946,24.11038
202001011500,512.4108333,16.6879,24.1288
202001011530,434.9170833,16.7808,24.16958
202001011600,357.4233333,16.87368,24.21035
202001011630,266.7826667,16.93057,24.01736
202001011700,176.1420278,16.98745,23.82437
202001011730,100.3384444,17.14102,23.6431
202001011800,24.53486111,17.29458,23.46182
202001011830,12.26743056,17.3633,23.34585
202001011900,0,17.43203,23.22988
202001011930,0,17.3556,23.1282
202001012000,0,17.2792,23.0265
202001012030,0,17.17275,22.86514
202001012100,0,17.0663,22.70376
202001012130,0,17.20132,22.67544
202001012200,0,17.33633,22.64712
202001012230,0,17.32083,22.54995
202001012300,0,17.30532,22.45278
202001012330,0,17.28347,22.41445
202001020000,0,17.26162,22.37612
202001020030,0,17.19644,22.41592
202001020100,0,17.13125,22.4557
202001020130,0,17.3124,22.42324
202001020200,0,17.49355,22.39077
202001020230,0,17.64846,22.39675
202001020300,0,17.80337,22.40273
202001020330,0,17.87502,22.3666
202001020400,0,17.94668,22.33047
202001020430,0,18.16616,22.486
202001020500,0,18.38564,22.6415
202001020530,0,18.46792,22.70718
202001020600,0,18.5502,22.77285
202001020630,0,18.60098,22.84207
202001020700,0,18.65176,22.91128
202001020730,20.48594722,18.69753,23.00552
202001020800,40.97189167,18.7433,23.09976
202001020830,123.7512056,19.09377,23.69973
202001020900,206.5305278,19.44424,24.2997
202001020930,299.9608333,19.5718,24.63015
202001021000,393.3911111,19.69937,24.9606
202001021030,467.0998611,19.83486,25.02737
202001021100,540.8086111,19.97036,25.09414
202001021130,582.5076389,20.00283,25.2206
202001021200,624.2066667,20.0353,25.34707
202001021230,633.16625,20.00454,25.36697
202001021300,642.1258333,19.97378,25.38687
202001021330,607.6319444,20.0253,25.45632
202001021400,573.1380556,20.0768,25.52578
202001021430,480.0370833,20.06204,25.49185
202001021500,386.9361111,20.04727,25.4579
202001021530,322.5369722,20.0867,25.47354
202001021600,258.1378472,20.12612,25.48916
202001021630,188.8086806,20.61648,25.2848
202001021700,119.4795,21.10684,25.08047
202001021730,70.81226667,21.03896,24.97146
202001021800,22.14503472,20.9711,24.86245
202001021830,11.07251722,20.98367,24.7682
202001021900,0,20.99624,24.67397
202001021930,0,21.00674,24.74514
202001022000,0,21.01724,24.8163
202001022030,0,21.09866,24.81924
202001022100,0,21.18008,24.82217
202001022130,0,21.3881,24.84182
202001022200,0,21.5961,24.86147
202001022230,0,21.72634,24.8113
202001022300,0,21.8566,24.76113
202001022330,0,21.8838,24.73806
202001030000,0,21.91104,24.715
202001030030,0,21.88857,24.72817
202001030100,0,21.8661,24.74136
202001030130,0,21.8224,24.7012
202001030200,0,21.7787,24.66104
202001030230,0,21.78115,24.67556
202001030300,0,21.7836,24.6901
202001030330,0,21.7903,24.6537
202001030400,0,21.79702,24.61733
202001030430,0,21.8555,24.69656
202001030500,0,21.91396,24.77578
202001030530,0,21.9318,24.87075
202001030600,0,21.9496,24.96572
202001030630,0,21.9462,24.99197
202001030700,0,21.94277,25.0182
202001030730,18.49690972,21.92983,25.0535
202001030800,36.99381944,21.9169,25.08877
202001030830,120.2175611,21.98,25.3976
202001030900,203.4413056,22.0431,25.70645
202001030930,293.4891389,22.0121,25.84976
202001031000,383.5369444,21.9811,25.99307
202001031030,450.70625,22.085,26.12332
202001031100,517.8755556,22.18887,26.25356
202001031130,541.2913889,22.13638,26.27664
202001031200,564.7072222,22.0839,26.2997
202001031230,582.44,22.0375,26.3345
202001031300,600.1727778,21.9911,26.3693
202001031330,588.4776389,22.03445,26.3433
202001031400,576.7825,22.07778,26.3173
202001031430,530.3665278,22.06106,26.2626
202001031500,483.9505556,22.04434,26.2079
202001031530,418.2205556,22.04116,26.12747
202001031600,352.4905556,22.038,26.04702
202001031630,268.8095,22.16494,25.82437
202001031700,185.1284444,22.2919,25.6017
202001031730,106.1081,22.36025,25.50332
202001031800,27.08776111,22.4286,25.40493
202001031830,13.54388056,22.36904,25.29678
202001031900,0,22.30947,25.18862
202001031930,0,22.2504,25.11758
202001032000,0,22.1913,25.04653
202001032030,0,22.22964,25.01504
202001032100,0,22.26797,24.98354
202001032130,0,22.2682,24.86843
202001032200,0,22.26846,24.75332
202001032230,0,22.2123,24.6774
202001032300,0,22.15615,24.60146
202001032330,0,22.19412,24.5557
202001040000,0,22.23208,24.5099
202001040030,0,22.29226,24.53872
202001040100,0,22.35244,24.56753
202001040130,0,22.42544,24.63394
202001040200,0,22.49844,24.70034
202001040230,0,22.5193,24.72915
202001040300,0,22.5402,24.75796
202001040330,0,22.54922,24.7759
202001040400,0,22.55825,24.79385
202001040430,0,22.553,24.78945
202001040500,0,22.54775,24.78506
202001040530,0,22.55654,24.78506
202001040600,0,22.56533,24.78506
202001040630,0,22.59585,24.87087
202001040700,0,22.62637,24.9567
202001040730,19.00504444,22.63003,25.00564
202001040800,38.01008611,22.6337,25.0546
202001040830,114.8275,22.70754,25.40615
202001040900,191.6449167,22.7814,25.7577
202001040930,268.2860833,22.9246,25.98672
202001041000,344.9272222,23.06777,26.21572
202001041030,419.3054167,23.13857,26.30496
202001041100,493.6836111,23.20938,26.3942
202001041130,546.5994444,23.22695,26.5453
202001041200,599.5152778,23.24453,26.69644
202001041230,635.4404167,23.1265,26.83608
202001041300,671.3655556,23.00845,26.97573
202001041330,646.6183333,22.81545,26.98403
202001041400,621.8711111,22.62246,26.99233
202001041430,578.3565278,22.29946,26.907
202001041500,534.8419444,21.97646,26.82168
202001041530,459.235,21.93655,26.7942
202001041600,383.6280556,21.89663,26.76675
202001041630,284.2862667,22.51028,26.371
202001041700,184.9444722,23.12393,25.97524
202001041730,105.0102083,22.9651,25.74368
202001041800,25.0759375,22.8063,25.5121
202001041830,12.53796889,22.1537,24.86477
202001041900,0,21.50112,24.21743
202001041930,0,21.095,23.9031
202001042000,0,20.68887,23.58877
202001042030,0,20.1243,23.36
202001042100,0,19.55972,23.13125
202001042130,0,19.00088,22.8583
202001042200,0,18.44204,22.58535
202001042230,0,18.10146,22.16665
202001042300,0,17.7609,21.74795
202001042330,0,17.37734,21.52957
202001050000,0,16.9938,21.31118
202001050030,0,16.76638,21.1675
202001050100,0,16.53896,21.02383
202001050130,0,16.34988,20.76748
202001050200,0,16.1608,20.51113
202001050230,0,15.9656,20.1786
202001050300,0,15.7704,19.8461
202001050330,0,15.37283,19.60256
202001050400,0,14.97524,19.35903
202001050430,0,13.7742,18.55667
202001050500,0,12.57314,17.7543
202001050530,0,11.9385,17.46072
202001050600,0,11.30386,17.16714
202001050630,0,10.49783,16.8932
202001050700,0,9.6918,16.6193
202001050730,22.77259444,8.3904,16.47573
202001050800,45.54519167,7.089,16.33218
202001050830,139.6295278,6.11184,16.37527
202001050900,233.7138722,5.13467,16.41836
202001050930,334.1455556,5.37136,16.7316
202001051000,434.5772222,5.60806,17.04482
202001051030,513.3598611,6.3047,17.38564
202001051100,592.1425,7.00137,17.72646
202001051130,640.0340278,7.8151,18.18557
202001051200,687.9255556,8.6288,18.64468
202001051230,700.4615278,9.20437,18.9999
202001051300,712.9975,9.77993,19.35513
202001051330,693.2966667,10.24197,19.71658
202001051400,673.5958333,10.704,20.07803
202001051430,621.4322222,10.98696,20.3019
202001051500,569.2686111,11.26992,20.52578
202001051530,479.7098611,11.39016,20.5834
202001051600,390.1511111,11.5104,20.64102
202001051630,291.1208333,10.8572,20.33364
202001051700,192.0905722,10.204,20.02627
202001051730,110.5415722,10.40396,19.78494
202001051800,28.99256944,10.6039,19.5436
202001051830,14.49628472,10.8478,19.3074
202001051900,0,11.0917,19.0712
202001051930,0,11.36672,18.8826
202001052000,0,11.64175,18.694
202001052030,0,11.80312,18.46462
202001052100,0,11.9645,18.23525
202001052130,0,11.91335,17.95803
202001052200,0,11.8622,17.6808
202001052230,0,12.07815,17.53774
202001052300,0,12.2941,17.39468
202001052330,0,12.2195,17.06008
202001060000,0,12.14492,16.7255
202001060030,0,11.9916,16.48794
202001060100,0,11.83828,16.2504
202001060130,0,11.8173,16.0934
202001060200,0,11.7963,15.93643
202001060230,0,11.7245,15.88687
202001060300,0,11.65273,15.8373
202001060330,0,11.80007,15.84414
202001060400,0,11.9474,15.85098
202001060430,0,11.9556,15.64895
202001060500,0,11.96377,15.44692
202001060530,0,12.08853,15.44473
202001060600,0,12.21328,15.44253
202001060630,0,12.22964,15.44888
202001060700,0,12.246,15.45522
202001060730,20.30396667,12.1736,15.5657
202001060800,40.60793333,12.10122,15.67617
202001060830,126.7521667,12.22537,16.2997
202001060900,212.8964056,12.3495,16.92324
202001060930,303.4020833,12.37954,17.67654
202001061000,393.9077778,12.40957,18.42983
202001061030,464.9655556,12.78396,19.07742
202001061100,536.0233333,13.15835,19.725
202001061130,558.2119444,13.33438,20.18838
202001061200,580.4005556,13.5104,20.65176
202001061230,584.1359722,13.31912,21.0049
202001061300,587.8713889,13.12783,21.35806
202001061330,566.4772222,13.0281,21.4734
202001061400,545.0830556,12.92837,21.58877
202001061430,486.9879167,12.8505,21.59475
202001061500,428.8927778,12.7726,21.60073
202001061530,348.0282778,12.71792,21.57412
202001061600,267.1637667,12.66323,21.5475
202001061630,205.6122222,12.72036,21.65505
202001061700,144.0606944,12.7775,21.7626
202001061730,82.61955556,12.97012,21.66958
202001061800,21.17841944,13.16274,21.57656
202001061830,10.58921,13.1675,21.33694
202001061900,0,13.17227,21.0973
202001061930,0,13.1348,21.12295
202001062000,0,13.0973,21.14858
202001062030,0,13.30288,21.03823
202001062100,0,13.50845,20.92788
202001062130,0,13.5209,20.8329
202001062200,0,13.53335,20.73794
202001062230,0,13.397,20.6631
202001062300,0,13.26064,20.58828
202001062330,0,13.2543,20.48196
202001070000,0,13.24795,20.37563
202001070030,0,13.27578,19.99587
202001070100,0,13.3036,19.6161
202001070130,0,13.3882,19.68972
202001070200,0,13.4728,19.76333
202001070230,0,13.56252,19.6652
202001070300,0,13.65225,19.56704
202001070330,0,13.72048,19.43325
202001070400,0,13.78872,19.29946
202001070430,0,13.68496,19.1547
202001070500,0,13.5812,19.0099
202001070530,0,13.81436,18.79836
202001070600,0,14.0475,18.58682
202001070630,0,14.30557,18.51492
202001070700,0,14.56362,18.44302
202001070730,16.95293389,14.70718,18.49404
202001070800,33.90586806,14.85073,18.54507
202001070830,108.2634167,14.9402,19.14517
202001070900,182.6209722,15.0297,19.74526
202001070930,265.9815972,14.7748,20.54568
202001071000,349.3422222,14.51992,21.3461
202001071030,433.8418056,14.30996,21.7549
202001071100,518.3413889,14.1,22.16372
202001071130,568.0970833,13.84207,22.41628
202001071200,617.8527778,13.58413,22.66885
202001071230,627.5572222,13.32998,22.7455
202001071300,637.2616667,13.07583,22.82217
202001071330,630.5702778,12.89602,23.07534
202001071400,623.8788889,12.7162,23.32852
202001071430,560.4368056,12.4999,23.31375
202001071500,496.9947222,12.2836,23.29897
202001071530,416.3183333,12.1327,23.30386
202001071600,335.6419444,11.98184,23.30874
202001071630,264.36275,12.7311,23.3716
202001071700,193.0835556,13.48037,23.43447
202001071730,112.4925833,13.16323,23.4368
202001071800,31.90161389,12.8461,23.4391
202001071830,15.95080722,13.1952,22.77517
202001071900,0,13.54434,22.11123
202001071930,0,13.71548,21.68582
202001072000,0,13.88662,21.2604
202001072030,0,13.60012,21.089
202001072100,0,13.31362,20.91763
202001072130,0,12.94082,20.43167
202001072200,0,12.56802,19.9457
202001072230,0,12.1719,19.621
202001072300,0,11.77578,19.2963
202001072330,0,11.51565,19.09963
202001080000,0,11.25552,18.90298
202001080030,0,11.13662,18.72732
202001080100,0,11.01772,18.55166
202001080130,0,11.017,18.4817
202001080200,0,11.01626,18.41177
202001080230,0,11.17593,18.19326
202001080300,0,11.3356,17.97476
202001080330,0,11.64077,17.97207
202001080400,0,11.94595,17.9694
202001080430,0,11.8937,17.81265
202001080500,0,11.84146,17.6559
202001080530,0,11.97122,17.5496
202001080600,0,12.10098,17.44326
202001080630,0,12.31692,17.27993
202001080700,0,12.53286,17.1166
202001080730,20.89305556,12.72158,17.11526
202001080800,41.78611111,12.9103,17.11392
202001080830,131.4352333,13.13992,17.6105
202001080900,221.0843611,13.36953,18.10708
202001080930,315.8962222,13.48354,18.88894
202001081000,410.7080556,13.59756,19.6708
202001081030,484.7173611,13.8041,20.27993
202001081100,558.7266667,14.01064,20.88906
202001081130,590.5822222,14.2006,21.47024
202001081200,622.4377778,14.39053,22.05142
202001081230,645.0031944,14.43948,22.52957
202001081300,667.5686111,14.48843,23.0077
202001081330,657.3994444,14.16738,23.23416
202001081400,647.2302778,13.84634,23.4606
202001081430,577.9334722,13.69387,23.51284
202001081500,508.6366667,13.5414,23.5651
202001081530,408.3975,13.5934,23.60598
202001081600,308.1583333,13.6454,23.64688
202001081630,215.3383611,13.7975,23.5038
202001081700,122.5183889,13.9496,23.36074
202001081730,73.97267222,13.86147,23.21255
202001081800,25.42696111,13.77334,23.06436
202001081830,12.71348056,13.82986,22.97134
202001081900,0,13.88638,22.87832
202001081930,0,14.05837,22.8312
202001082000,0,14.23037,22.78408
202001082030,0,14.3887,22.75112
202001082100,0,14.54702,22.71816
202001082130,0,14.64456,22.70864
202001082200,0,14.7421,22.69912
202001082230,0,14.67227,22.70583
202001082300,0,14.60244,22.71255
202001082330,0,14.636,22.73318
202001090000,0,14.66958,22.7538
202001090030,0,14.69705,22.69058
202001090100,0,14.7245,22.62734
202001090130,0,14.71218,22.56387
202001090200,0,14.69985,22.5004
202001090230,0,14.75527,22.53652
202001090300,0,14.8107,22.57266
202001090330,0,14.75515,22.68435
202001090400,0,14.6996,22.79604
202001090430,0,14.58694,22.93508
202001090500,0,14.47427,23.07412
202001090530,0,14.67788,23.0021
202001090600,0,14.8815,22.93008
202001090630,0,14.9993,22.9678
202001090700,0,15.1171,23.00552
202001090730,12.530425,15.22805,23.0508
202001090800,25.06085,15.339,23.0961
202001090830,81.63362778,15.3506,23.3395
202001090900,138.2064056,15.3622,23.5829
202001090930,204.6556944,15.49832,23.77163
202001091000,271.1049833,15.63442,23.96035
202001091030,324.0734722,15.92068,23.99795
202001091100,377.0419444,16.20693,24.03555
202001091130,438.2031944,16.2173,24.08926
202001091200,499.3644444,16.2277,24.14297
202001091230,473.2405556,16.2355,24.17947
202001091300,447.1166667,16.2433,24.21597
202001091330,510.4576389,16.1868,24.30032
202001091400,573.7986111,16.13027,24.38467
202001091430,513.4838889,16.07913,24.29336
202001091500,453.1691667,16.02798,24.20205
202001091530,416.3847222,16.11086,24.11733
202001091600,379.6002778,16.19375,24.03262
202001091630,271.4303333,16.0746,23.8771
202001091700,163.2603889,15.95547,23.72158
202001091730,92.24930556,16.23684,23.7117
202001091800,21.23822917,16.5182,23.7018
202001091830,10.61911444,16.79836,23.67886
202001091900,0,17.07852,23.6559
202001091930,0,17.34988,23.69753
202001092000,0,17.62124,23.73916
202001092030,0,17.77236,23.72756
202001092100,0,17.9235,23.71597
202001092130,0,18.0331,23.6996
202001092200,0,18.14272,23.68325
202001092230,0,18.35488,23.55044
202001092300,0,18.56704,23.41763
202001092330,0,18.6608,23.32998
202001100000,0,18.75454,23.24233
202001100030,0,18.80154,23.29702
202001100100,0,18.84854,23.3517
202001100130,0,18.8732,23.38516
202001100200,0,18.89785,23.4186
202001100230,0,19.08938,23.44436
202001100300,0,19.2809,23.47012
202001100330,0,19.34707,23.5408
202001100400,0,19.41323,23.61147
202001100430,0,19.2671,23.65713
202001100500,0,19.121,23.70278
202001100530,0,19.27505,23.66982
202001100600,0,19.4291,23.63687
202001100630,0,19.48586,23.59365
202001100700,0,19.54263,23.55044
202001100730,15.42571167,19.584,23.64688
202001100800,30.85142361,19.6254,23.7433
202001100830,93.03568611,19.678,23.91055
202001100900,155.2199444,19.7306,24.07778
202001100930,225.4880278,19.74246,24.21633
202001101000,295.7561111,19.7543,24.35488
202001101030,379.4752778,19.78042,24.45437
202001101100,463.1944444,19.80654,24.55386
202001101130,494.6015278,19.84158,24.61086
202001101200,526.0086111,19.8766,24.66787
202001101230,527.8073611,19.8915,24.69778
202001101300,529.6061111,19.9064,24.7277
202001101330,444.6733333,19.8876,24.71377
202001101400,359.7405556,19.8688,24.69985
202001101430,391.6626389,19.8478,24.71584
202001101500,423.5847222,19.8268,24.73184
202001101530,356.7407222,19.93203,24.6409
202001101600,289.89675,20.03726,24.54995
202001101630,212.6825694,20.26943,24.53616
202001101700,135.4683889,20.5016,24.52236
202001101730,81.46345556,20.5525,24.3909
202001101800,27.458525,20.60342,24.25942
202001101830,13.72926222,20.66482,24.24514
202001101900,0,20.72622,24.23086
202001101930,0,20.7604,24.23818
202001102000,0,20.79458,24.2455
202001102030,0,20.93167,24.14858
202001102100,0,21.06875,24.05166
202001102130,0,21.13967,24.11245
202001102200,0,21.2106,24.17324
202001102230,0,21.2344,24.18704
202001102300,0,21.2582,24.20083
202001102330,0,21.34707,24.20376
202001110000,0,21.43594,24.2067
202001110030,0,21.4994,24.21584
202001110100,0,21.5629,24.225
202001110130,0,21.54067,24.2089
202001110200,0,21.51846,24.19277
202001110230,0,21.52285,24.18765
202001110300,0,21.52725,24.18252
202001110330,0,21.59463,24.22048
202001110400,0,21.662,24.25845
202001110430,0,21.67935,24.3019
202001110500,0,21.69668,24.34536
202001110530,0,21.62917,24.38503
202001110600,0,21.56167,24.4247
202001110630,0,21.5579,24.45828
202001110700,0,21.5541,24.49185
202001110730,16.74473944,21.62417,24.5729
202001110800,33.48947917,21.69424,24.65396
202001110830,99.45904444,21.65408,24.84487
202001110900,165.4286111,21.61392,25.0358
202001110930,252.1968056,21.6193,25.22622
202001111000,338.965,21.62466,25.41665
202001111030,428.1815278,21.66152,25.51785
202001111100,517.3980556,21.6984,25.61904
202001111130,550.14625,21.7084,25.72915
202001111200,582.8944444,21.7184,25.83926
202001111230,617.8709722,21.7725,25.84133
202001111300,652.8475,21.82656,25.8434
202001111330,618.2983333,21.81204,25.82375
202001111400,583.7491667,21.7975,25.8041
202001111430,537.7577778,21.80984,25.7891
202001111500,491.7663889,21.82217,25.77407
202001111530,401.6434722,21.77847,25.73098
202001111600,311.5205556,21.73477,25.6879
202001111630,241.7817361,21.83816,25.57205
202001111700,172.0429167,21.94155,25.4562
202001111730,103.0478556,21.9479,25.31753
202001111800,34.05279444,21.95425,25.17886
202001111830,17.02639722,21.9817,25.08755
202001111900,0,22.00918,24.99624
202001111930,0,22.00173,24.90518
202001112000,0,21.9943,24.8141
202001112030,0,22.0392,24.76846
202001112100,0,22.08413,24.7228
202001112130,0,22.095,24.64407
202001112200,0,22.10586,24.56533
202001112230,0,22.12124,24.51528
202001112300,0,22.13662,24.46523
202001112330,0,22.12795,24.4152
202001120000,0,22.1193,24.36514
202001120030,0,22.13394,24.28884
202001120100,0,22.14858,24.21255
202001120130,0,22.19448,24.28372
202001120200,0,22.24038,24.35488
202001120230,0,22.21926,24.3213
202001120300,0,22.19814,24.28774
202001120330,0,22.22024,24.2549
202001120400,0,22.24233,24.22207
202001120430,0,22.1791,24.2454
202001120500,0,22.11587,24.2687
202001120530,0,22.10208,24.2809
202001120600,0,22.08828,24.2931
202001120630,0,22.0635,24.35854
202001120700,0,22.03872,24.42397
202001120730,18.91321944,22.01772,24.5253
202001120800,37.82644167,21.99673,24.6266
202001120830,113.8819528,21.9866,24.8693
202001120900,189.9374722,21.97646,25.11196
202001120930,273.8065111,21.99172,25.29263
202001121000,357.6755556,22.00698,25.4733
202001121030,432.2029167,22.00173,25.47988
202001121100,506.7302778,21.99648,25.48647
202001121130,504.1923611,21.9363,25.26394
202001121200,501.6544444,21.87612,25.0414
202001121230,490.7708333,21.98672,25.1979
202001121300,479.8872222,22.0973,25.3544
202001121330,530.0130556,22.04714,25.4307
202001121400,580.1388889,21.99697,25.50698
202001121430,516.8405556,21.99697,25.6359
202001121500,453.5422222,21.99697,25.7648
202001121530,358.3132778,22.04177,25.59072
202001121600,263.0843222,22.08657,25.41665
202001121630,209.4605278,22.1183,25.30447
202001121700,155.8367222,22.15005,25.1923
202001121730,91.813325,22.04446,25.04824
202001121800,27.78993056,21.93887,24.9042
202001121830,13.89496528,21.98562,24.83804
202001121900,0,22.03237,24.77188
202001121930,0,22.0496,24.7383
202001122000,0,22.0668,24.70474
202001122030,0,22.07705,24.65078
202001122100,0,22.0873,24.59683
202001122130,0,22.12747,24.5458
202001122200,0,22.16763,24.49478
202001122230,0,22.11477,24.40774
202001122300,0,22.0619,24.3207
202001122330,0,21.98928,24.25027
202001130000,0,21.91665,24.17983
202001130030,0,21.8495,24.14102
202001130100,0,21.78237,24.1022
202001130130,0,21.7101,24.04238
202001130200,0,21.63784,23.98257
202001130230,0,21.5618,23.90847
202001130300,0,21.48574,23.83438
202001130330,0,21.51833,23.8329
202001130400,0,21.55093,23.83145
202001130430,0,21.32253,23.76248
202001130500,0,21.09414,23.6935
202001130530,0,21.12222,23.70474
202001130600,0,21.1503,23.71597
202001130630,0,21.1503,23.7306
202001130700,0,21.1503,23.74526
202001130730,18.62441944,21.18862,23.8749
202001130800,37.24883611,21.22695,24.00454
202001130830,112.8608056,21.04983,24.28506
202001130900,188.4727778,20.8727,24.56558
202001130930,266.9052778,20.9286,24.7975
202001131000,345.3377778,20.98452,25.02944
202001131030,419.9655556,20.9429,25.1714
202001131100,494.5933333,20.90127,25.31338
202001131130,554.2041667,20.86428,25.34805
202001131200,613.815,20.8273,25.3827
202001131230,622.9059722,20.77908,25.381
202001131300,631.9969444,20.73086,25.3793
202001131330,641.7070833,20.69595,25.37148
202001131400,651.4172222,20.66104,25.36367
202001131430,599.62875,20.6708,25.31704
202001131500,547.8402778,20.68057,25.2704
202001131530,475.4127778,20.68618,25.2283
202001131600,402.9852778,20.6918,25.18618
202001131630,309.9384722,20.61672,25.0646
202001131700,216.8916944,20.54165,24.94302
202001131730,128.2007278,20.60842,24.79897
202001131800,39.50975556,20.6752,24.65493
202001131830,19.75487778,20.93533,24.6824
202001131900,0,21.19546,24.70986
202001131930,0,21.10354,24.61538
202001132000,0,21.01162,24.5209
202001132030,0,21.1078,24.57913
202001132100,0,21.204,24.63735
202001132130,0,21.30947,24.71743
202001132200,0,21.41494,24.7975
202001132230,0,21.46255,24.7836
202001132300,0,21.51016,24.76968
202001132330,0,21.5348,24.689
202001140000,0,21.55947,24.6083
202001140030,0,21.62307,24.59817
202001140100,0,21.68667,24.58804
202001140130,0,21.7018,24.5702
202001140200,0,21.71694,24.5524
202001140230,0,21.7715,24.4994
202001140300,0,21.82607,24.44644
202001140330,0,21.78384,24.38735
202001140400,0,21.7416,24.32827
202001140430,0,21.85525,24.39028
202001140500,0,21.9689,24.4523
202001140530,0,21.9844,24.41995
202001140600,0,21.9999,24.3876
202001140630,0,21.986,24.4153
202001140700,0,21.97207,24.44302
202001140730,17.75539056,21.89517,24.48123
202001140800,35.51078056,21.81826,24.51943
