DateTime,ssrd,d2m,t2m
1/1/2020 0:00,0,292.4099,295.30396
1/1/2020 0:30,0,292.193,295.09534
1/1/2020 1:00,0,291.97607,294.88672
1/1/2020 1:30,0,291.71472,294.65918
1/1/2020 2:00,0,291.45337,294.43164
1/1/2020 2:30,0,291.20837,294.23865
1/1/2020 3:00,0,290.96338,294.04565
1/1/2020 3:30,0,290.7057,293.85876
1/1/2020 4:00,0,290.448,293.67188
1/1/2020 4:30,0,289.8225,293.29028
1/1/2020 5:00,0,289.19702,292.9087
1/1/2020 5:30,0,288.87854,292.8235
1/1/2020 6:00,0,288.56006,292.73828
1/1/2020 6:30,0,288.3258,292.70935
1/1/2020 7:00,0,288.09155,292.68042
1/1/2020 7:30,65176,287.97656,292.65295
1/1/2020 8:00,130352,287.86157,292.6255
1/1/2020 8:30,427086.44,287.83752,292.9939
1/1/2020 9:00,723820.9,287.81348,293.3623
1/1/2020 9:30,995154.44,287.96838,293.96252
1/1/2020 10:00,1266488,288.1233,294.56274
1/1/2020 10:30,1542157,288.3484,295.01074
1/1/2020 11:00,1817826,288.5735,295.45874
1/1/2020 11:30,1948235.5,288.86658,295.9088
1/1/2020 12:00,2078645,289.15967,296.3589
1/1/2020 12:30,2138498,289.32617,296.63257
1/1/2020 13:00,2198351,289.49268,296.90625
1/1/2020 13:30,2234844,289.672,297.0741
1/1/2020 14:00,2271337,289.85132,297.24194
1/1/2020 14:30,2058008,289.8446,297.26038
1/1/2020 15:00,1844679,289.8379,297.2788
1/1/2020 15:30,1565701.5,289.9308,297.31958
1/1/2020 16:00,1286724,290.02368,297.36035
1/1/2020 16:30,960417.6,290.08057,297.16736
1/1/2020 17:00,634111.3,290.13745,296.97437
1/1/2020 17:30,361218.4,290.29102,296.7931
1/1/2020 18:00,88325.5,290.44458,296.61182
1/1/2020 18:30,44162.75,290.5133,296.49585
1/1/2020 19:00,0,290.58203,296.37988
1/1/2020 19:30,0,290.5056,296.2782
1/1/2020 20:00,0,290.4292,296.1765
1/1/2020 20:30,0,290.32275,296.01514
1/1/2020 21:00,0,290.2163,295.85376
1/1/2020 21:30,0,290.35132,295.82544
1/1/2020 22:00,0,290.48633,295.79712
1/1/2020 22:30,0,290.47083,295.69995
1/1/2020 23:00,0,290.45532,295.60278
1/1/2020 23:30,0,290.43347,295.56445
1/2/2020 0:00,0,290.41162,295.52612
1/2/2020 0:30,0,290.34644,295.56592
1/2/2020 1:00,0,290.28125,295.6057
1/2/2020 1:30,0,290.4624,295.57324
1/2/2020 2:00,0,290.64355,295.54077
1/2/2020 2:30,0,290.79846,295.54675
1/2/2020 3:00,0,290.95337,295.55273
1/2/2020 3:30,0,291.02502,295.5166
1/2/2020 4:00,0,291.09668,295.48047
1/2/2020 4:30,0,291.31616,295.636
1/2/2020 5:00,0,291.53564,295.7915
1/2/2020 5:30,0,291.61792,295.85718
1/2/2020 6:00,0,291.7002,295.92285
1/2/2020 6:30,0,291.75098,295.99207
1/2/2020 7:00,0,291.80176,296.06128
1/2/2020 7:30,73749.41,291.84753,296.15552
1/2/2020 8:00,147498.81,291.8933,296.24976
1/2/2020 8:30,445504.34,292.24377,296.84973
1/2/2020 9:00,743509.9,292.59424,297.4497
1/2/2020 9:30,1079859,292.7218,297.78015
1/2/2020 10:00,1416208,292.84937,298.1106
1/2/2020 10:30,1681559.5,292.98486,298.17737
1/2/2020 11:00,1946911,293.12036,298.24414
1/2/2020 11:30,2097027.5,293.15283,298.3706
1/2/2020 12:00,2247144,293.1853,298.49707
1/2/2020 12:30,2279398.5,293.15454,298.51697
1/2/2020 13:00,2311653,293.12378,298.53687
1/2/2020 13:30,2187475,293.1753,298.60632
1/2/2020 14:00,2063297,293.2268,298.67578
1/2/2020 14:30,1728133.5,293.21204,298.64185
1/2/2020 15:00,1392970,293.19727,298.6079
1/2/2020 15:30,1161133.1,293.2367,298.62354
1/2/2020 16:00,929296.25,293.27612,298.63916
1/2/2020 16:30,679711.25,293.76648,298.4348
1/2/2020 17:00,430126.2,294.25684,298.23047
1/2/2020 17:30,254924.16,294.18896,298.12146
1/2/2020 18:00,79722.125,294.1211,298.01245
1/2/2020 18:30,39861.062,294.13367,297.9182
1/2/2020 19:00,0,294.14624,297.82397
1/2/2020 19:30,0,294.15674,297.89514
1/2/2020 20:00,0,294.16724,297.9663
1/2/2020 20:30,0,294.24866,297.96924
1/2/2020 21:00,0,294.33008,297.97217
1/2/2020 21:30,0,294.5381,297.99182
1/2/2020 22:00,0,294.7461,298.01147
1/2/2020 22:30,0,294.87634,297.9613
1/2/2020 23:00,0,295.0066,297.91113
1/2/2020 23:30,0,295.0338,297.88806
1/3/2020 0:00,0,295.06104,297.865
1/3/2020 0:30,0,295.03857,297.87817
1/3/2020 1:00,0,295.0161,297.89136
1/3/2020 1:30,0,294.9724,297.8512
1/3/2020 2:00,0,294.9287,297.81104
1/3/2020 2:30,0,294.93115,297.82556
1/3/2020 3:00,0,294.9336,297.8401
1/3/2020 3:30,0,294.9403,297.8037
1/3/2020 4:00,0,294.94702,297.76733
1/3/2020 4:30,0,295.0055,297.84656
1/3/2020 5:00,0,295.06396,297.92578
1/3/2020 5:30,0,295.0818,298.02075
1/3/2020 6:00,0,295.0996,298.11572
1/3/2020 6:30,0,295.0962,298.14197
1/3/2020 7:00,0,295.09277,298.1682
1/3/2020 7:30,66588.875,295.07983,298.2035
1/3/2020 8:00,133177.75,295.0669,298.23877
1/3/2020 8:30,432783.22,295.13,298.5476
1/3/2020 9:00,732388.7,295.1931,298.85645
1/3/2020 9:30,1056560.9,295.1621,298.99976
1/3/2020 10:00,1380733,295.1311,299.14307
1/3/2020 10:30,1622542.5,295.235,299.27332
1/3/2020 11:00,1864352,295.33887,299.40356
1/3/2020 11:30,1948649,295.28638,299.42664
1/3/2020 12:00,2032946,295.2339,299.4497
1/3/2020 12:30,2096784,295.1875,299.4845
1/3/2020 13:00,2160622,295.1411,299.5193
1/3/2020 13:30,2118519.5,295.18445,299.4933
1/3/2020 14:00,2076417,295.22778,299.4673
1/3/2020 14:30,1909319.5,295.21106,299.4126
1/3/2020 15:00,1742222,295.19434,299.3579
1/3/2020 15:30,1505594,295.19116,299.27747
1/3/2020 16:00,1268966,295.188,299.19702
1/3/2020 16:30,967714.2,295.31494,298.97437
1/3/2020 17:00,666462.4,295.4419,298.7517
1/3/2020 17:30,381989.16,295.51025,298.65332
1/3/2020 18:00,97515.94,295.5786,298.55493
1/3/2020 18:30,48757.97,295.51904,298.44678
1/3/2020 19:00,0,295.45947,298.33862
1/3/2020 19:30,0,295.4004,298.26758
1/3/2020 20:00,0,295.3413,298.19653
1/3/2020 20:30,0,295.37964,298.16504
1/3/2020 21:00,0,295.41797,298.13354
1/3/2020 21:30,0,295.4182,298.01843
1/3/2020 22:00,0,295.41846,297.90332
1/3/2020 22:30,0,295.3623,297.8274
1/3/2020 23:00,0,295.30615,297.75146
1/3/2020 23:30,0,295.34412,297.7057
1/4/2020 0:00,0,295.38208,297.6599
1/4/2020 0:30,0,295.44226,297.68872
1/4/2020 1:00,0,295.50244,297.71753
1/4/2020 1:30,0,295.57544,297.78394
1/4/2020 2:00,0,295.64844,297.85034
1/4/2020 2:30,0,295.6693,297.87915
1/4/2020 3:00,0,295.6902,297.90796
1/4/2020 3:30,0,295.69922,297.9259
1/4/2020 4:00,0,295.70825,297.94385
1/4/2020 4:30,0,295.703,297.93945
1/4/2020 5:00,0,295.69775,297.93506
1/4/2020 5:30,0,295.70654,297.93506
1/4/2020 6:00,0,295.71533,297.93506
1/4/2020 6:30,0,295.74585,298.02087
1/4/2020 7:00,0,295.77637,298.1067
1/4/2020 7:30,68418.16,295.78003,298.15564
1/4/2020 8:00,136836.31,295.7837,298.2046
1/4/2020 8:30,413379,295.85754,298.55615
1/4/2020 9:00,689921.7,295.9314,298.9077
1/4/2020 9:30,965829.9,296.0746,299.13672
1/4/2020 10:00,1241738,296.21777,299.36572
1/4/2020 10:30,1509499.5,296.28857,299.45496
1/4/2020 11:00,1777261,296.35938,299.5442
1/4/2020 11:30,1967758,296.37695,299.6953
1/4/2020 12:00,2158255,296.39453,299.84644
1/4/2020 12:30,2287585.5,296.2765,299.98608
1/4/2020 13:00,2416916,296.15845,300.12573
1/4/2020 13:30,2327826,295.96545,300.13403
1/4/2020 14:00,2238736,295.77246,300.14233
1/4/2020 14:30,2082083.5,295.44946,300.057
1/4/2020 15:00,1925431,295.12646,299.97168
1/4/2020 15:30,1653246,295.08655,299.9442
1/4/2020 16:00,1381061,295.04663,299.91675
1/4/2020 16:30,1023430.56,295.66028,299.521
1/4/2020 17:00,665800.1,296.27393,299.12524
1/4/2020 17:30,378036.75,296.1151,298.89368
1/4/2020 18:00,90273.375,295.9563,298.6621
1/4/2020 18:30,45136.688,295.3037,298.01477
1/4/2020 19:00,0,294.65112,297.36743
1/4/2020 19:30,0,294.245,297.0531
1/4/2020 20:00,0,293.83887,296.73877
1/4/2020 20:30,0,293.2743,296.51
1/4/2020 21:00,0,292.70972,296.28125
1/4/2020 21:30,0,292.15088,296.0083
1/4/2020 22:00,0,291.59204,295.73535
1/4/2020 22:30,0,291.25146,295.31665
1/4/2020 23:00,0,290.9109,294.89795
1/4/2020 23:30,0,290.52734,294.67957
1/5/2020 0:00,0,290.1438,294.46118
1/5/2020 0:30,0,289.91638,294.3175
1/5/2020 1:00,0,289.68896,294.17383
1/5/2020 1:30,0,289.49988,293.91748
1/5/2020 2:00,0,289.3108,293.66113
1/5/2020 2:30,0,289.1156,293.3286
1/5/2020 3:00,0,288.9204,292.9961
1/5/2020 3:30,0,288.52283,292.75256
1/5/2020 4:00,0,288.12524,292.50903
1/5/2020 4:30,0,286.9242,291.70667
1/5/2020 5:00,0,285.72314,290.9043
1/5/2020 5:30,0,285.0885,290.61072
1/5/2020 6:00,0,284.45386,290.31714
1/5/2020 6:30,0,283.64783,290.0432
1/5/2020 7:00,0,282.8418,289.7693
1/5/2020 7:30,81981.34,281.5404,289.62573
1/5/2020 8:00,163962.69,280.239,289.48218
1/5/2020 8:30,502666.3,279.26184,289.52527
1/5/2020 9:00,841369.94,278.28467,289.56836
1/5/2020 9:30,1202924,278.52136,289.8816
1/5/2020 10:00,1564478,278.75806,290.19482
1/5/2020 10:30,1848095.5,279.4547,290.53564
1/5/2020 11:00,2131713,280.15137,290.87646
1/5/2020 11:30,2304122.5,280.9651,291.33557
1/5/2020 12:00,2476532,281.7788,291.79468
1/5/2020 12:30,2521661.5,282.35437,292.1499
1/5/2020 13:00,2566791,282.92993,292.50513
1/5/2020 13:30,2495868,283.39197,292.86658
1/5/2020 14:00,2424945,283.854,293.22803
1/5/2020 14:30,2237156,284.13696,293.4519
1/5/2020 15:00,2049367,284.41992,293.67578
1/5/2020 15:30,1726955.5,284.54016,293.7334
1/5/2020 16:00,1404544,284.6604,293.79102
1/5/2020 16:30,1048035,284.0072,293.48364
1/5/2020 17:00,691526.06,283.354,293.17627
1/5/2020 17:30,397949.66,283.55396,292.93494
1/5/2020 18:00,104373.25,283.7539,292.6936
1/5/2020 18:30,52186.625,283.9978,292.4574
1/5/2020 19:00,0,284.2417,292.2212
1/5/2020 19:30,0,284.51672,292.0326
1/5/2020 20:00,0,284.79175,291.844
1/5/2020 20:30,0,284.95312,291.61462
1/5/2020 21:00,0,285.1145,291.38525
1/5/2020 21:30,0,285.06335,291.10803
1/5/2020 22:00,0,285.0122,290.8308
1/5/2020 22:30,0,285.22815,290.68774
1/5/2020 23:00,0,285.4441,290.54468
1/5/2020 23:30,0,285.3695,290.21008
1/6/2020 0:00,0,285.29492,289.8755
1/6/2020 0:30,0,285.1416,289.63794
1/6/2020 1:00,0,284.98828,289.4004
1/6/2020 1:30,0,284.9673,289.2434
1/6/2020 2:00,0,284.9463,289.08643
1/6/2020 2:30,0,284.8745,289.03687
1/6/2020 3:00,0,284.80273,288.9873
1/6/2020 3:30,0,284.95007,288.99414
1/6/2020 4:00,0,285.0974,289.00098
