time,ssrd,d2m,t2m
202001010000,0,19.15145,22.04965
202001010100,0,18.695395,21.62295
202001010200,0,18.18087,21.185145
202001010300,0,17.68454,20.802205
202001010400,0,16.98525,20.33108
202001010500,0,15.88778,19.7161
202001010600,0,15.29293,19.573815
202001010700,9.052222222,14.884055,19.516685
202001010800,77.42200556,14.699545,19.6597
202001010900,238.746575,14.74093,20.51241
202001011000,390.0895833,15.08585,21.63674
202001011100,523.0640972,15.57004,22.53377
202001011200,585.7143056,16.09292,23.345735
202001011300,615.7215278,16.43234,23.840175
202001011400,601.2979167,16.69796,24.10116
202001011500,473.6639583,16.73435,24.14919
202001011600,312.103,16.902125,24.113855
202001011700,138.2402361,17.064235,23.733735
202001011800,18.40114583,17.32894,23.403835
202001011900,0,17.393815,23.17904
202001012000,0,17.225975,22.94582
202001012100,0,17.13381,22.6896
202001012200,0,17.32858,22.598535
202001012300,0,17.294395,22.433615
202001020000,0,17.22903,22.39602
202001020100,0,17.221825,22.43947
202001020200,0,17.571005,22.39376
202001020300,0,17.839195,22.384665
202001020400,0,18.05642,22.408235
202001020500,0,18.42678,22.67434
202001020600,0,18.57559,22.80746
202001020700,10.24297361,18.674645,22.9584
202001020800,82.36154861,18.918535,23.399745
202001020900,253.2456806,19.50802,24.464925
202001021000,430.2454861,19.767115,24.993985
202001021100,561.658125,19.986595,25.15737
202001021200,628.6864583,20.01992,25.35702
202001021300,624.8788889,19.99954,25.421595
202001021400,526.5875694,20.06942,25.508815
202001021500,354.7365417,20.066985,25.46572
202001021600,223.4732639,20.3713,25.38698
202001021700,95.14588333,21.0729,25.025965
202001021800,16.60877597,20.977385,24.815325
202001021900,0,21.00149,24.709555
202001022000,0,21.05795,24.81777
202001022100,0,21.28409,24.831995
202001022200,0,21.66122,24.836385
202001022300,0,21.8702,24.749595
202001030000,0,21.899805,24.721585
202001030100,0,21.84425,24.72128
202001030200,0,21.779925,24.6683
202001030300,0,21.78695,24.6719
202001030400,0,21.82626,24.656945
202001030500,0,21.92288,24.823265
202001030600,0,21.9479,24.978845
202001030700,9.248454861,21.9363,25.03585
202001030800,78.60569028,21.94845,25.243185
202001030900,248.4652222,22.0276,25.778105
202001031000,417.1215972,22.03305,26.058195
202001031100,529.5834722,22.162625,26.2651
202001031200,573.5736111,22.0607,26.3171
202001031300,594.3252083,22.012775,26.3563
202001031400,553.5745139,22.06942,26.28995
202001031500,451.0855556,22.04275,26.167685
202001031600,310.6500278,22.10147,25.935695
202001031700,145.6182722,22.326075,25.55251
202001031800,20.31582083,22.39882,25.350855
202001031900,0,22.279935,25.1531
202001032000,0,22.21047,25.030785
202001032100,0,22.268085,24.925985
202001032200,0,22.24038,24.71536
202001032300,0,22.175135,24.57858
202001040000,0,22.26217,24.52431
202001040100,0,22.38894,24.600735
202001040200,0,22.50887,24.714745
202001040300,0,22.54471,24.76693
202001040400,0,22.555625,24.79165
202001040500,0,22.552145,24.78506
202001040600,0,22.58059,24.827965
202001040700,9.502522222,22.6282,24.98117
202001040800,76.41879306,22.67062,25.230375
202001040900,229.9655,22.853,25.87221
202001041000,382.1163194,23.10317,26.26034
202001041100,520.1415278,23.218165,26.46975
202001041200,617.4778472,23.185515,26.76626
202001041300,658.9919444,22.91195,26.97988
202001041400,600.1138194,22.46096,26.949665
202001041500,497.0384722,21.956505,26.80794
202001041600,333.9571611,22.203455,26.568875
202001041700,144.9773403,23.044515,25.85946
202001041800,18.80695319,22.48,25.188435
202001041900,0,21.29806,24.060265
202001042000,0,20.406585,23.474385
202001042100,0,19.2803,22.994775
202001042200,0,18.27175,22.376
202001042300,0,17.56912,21.63876
202001050000,0,16.88009,21.23934
202001050100,0,16.44442,20.895655
202001050200,0,16.0632,20.344865
202001050300,0,15.571615,19.72433
202001050400,0,14.37472,18.95785
202001050500,0,12.25582,17.60751
202001050600,0,10.900845,17.03017
202001050700,11.38629722,9.0411,16.547515
202001050800,92.58735972,6.60042,16.353725
202001050900,283.9297139,5.253015,16.57498
202001051000,473.9685417,5.95638,17.21523
202001051100,616.0882639,7.408235,17.956015
202001051200,694.1935417,8.916585,18.82229
202001051300,703.1470833,10.01095,19.535855
202001051400,647.5140278,10.84548,20.189965
202001051500,524.4892361,11.33004,20.55459
202001051600,340.6359722,11.1838,20.48733
202001051700,151.3160722,10.30398,19.905605
202001051800,21.74442708,10.72585,19.4255
202001051900,0,11.22921,18.9769
202001052000,0,11.722435,18.57931
202001052100,0,11.938925,18.09664
202001052200,0,11.970175,17.60927
202001052300,0,12.2568,17.22738
202001060000,0,12.06826,16.60672
202001060100,0,11.82779,16.1719
202001060200,0,11.7604,15.91165
202001060300,0,11.7264,15.84072
202001060400,0,11.9515,15.749965
202001060500,0,12.02615,15.445825
202001060600,0,12.22146,15.445705
202001060700,10.15198333,12.2098,15.51046
202001060800,83.68005,12.163295,15.987935
202001060900,258.1492444,12.36452,17.29989
202001061000,429.4366667,12.596765,18.753625
202001061100,547.1176389,13.246365,19.95669
202001061200,582.2682639,13.41476,20.82833
202001061300,577.1743056,13.077965,21.41573
202001061400,516.0354861,12.889435,21.59176
202001061500,388.4605278,12.74526,21.587425
202001061600,236.3879944,12.691795,21.601275
202001061700,113.340125,12.87381,21.71609
202001061800,15.88381472,13.16512,21.45675
202001061900,0,13.153535,21.110125
202001062000,0,13.20009,21.093405
202001062100,0,13.514675,20.88039
202001062200,0,13.465175,20.70052
202001062300,0,13.25747,20.53512
202001070000,0,13.261865,20.18575
202001070100,0,13.3459,19.65291
202001070200,0,13.51766,19.714265
202001070300,0,13.686365,19.500145
202001070400,0,13.73684,19.22708
202001070500,0,13.69778,18.90413
202001070600,0,14.176535,18.55087
202001070700,8.476466944,14.6354,18.46853
202001070800,71.08464236,14.895465,18.84512
202001070900,224.3012847,14.90225,20.14547
202001071000,391.5920139,14.41494,21.5505
202001071100,543.2192361,13.971035,22.29
202001071200,622.705,13.457055,22.707175
202001071300,633.9159722,12.985925,22.948755
202001071400,592.1578472,12.60805,23.321135
202001071500,456.6565278,12.20815,23.301415
202001071600,300.0023472,12.35647,23.34017
202001071700,152.7880694,13.3218,23.435635
202001071800,23.92621056,13.02065,23.107135
202001071900,0,13.62991,21.898525
202001072000,0,13.74337,21.1747
202001072100,0,13.12722,20.67465
202001072200,0,12.36996,19.78335
202001072300,0,11.645715,19.197965
202001080000,0,11.19607,18.81515
202001080100,0,11.01736,18.51668
202001080200,0,11.096095,18.302515
202001080300,0,11.488185,17.973415
202001080400,0,11.919825,17.891025
202001080500,0,11.90634,17.60275
202001080600,0,12.20895,17.361595
202001080700,10.44652778,12.62722,17.11593
202001080800,86.61067222,13.02511,17.36221
202001080900,268.4902917,13.426535,18.49801
202001081000,447.7127083,13.70083,19.975365
202001081100,574.6544444,14.10562,21.17965
202001081200,633.7204861,14.415005,22.290495
202001081300,662.4840278,14.327905,23.12093
202001081400,612.581875,13.770105,23.48672
202001081500,458.5170833,13.5674,23.58554
202001081600,261.7483472,13.72145,23.57534
202001081700,98.24553056,13.905535,23.286645
202001081800,19.07022083,13.8016,23.01785
202001081900,0,13.972375,22.85476
202001082000,0,14.309535,22.7676
202001082100,0,14.59579,22.7134
202001082200,0,14.707185,22.702475
202001082300,0,14.61922,22.722865
202001090000,0,14.683315,22.72219
202001090100,0,14.71834,22.595605
202001090200,0,14.72756,22.51846
202001090300,0,14.782925,22.628505
202001090400,0,14.64327,22.86556
202001090500,0,14.576075,23.03811
202001090600,0,14.9404,22.94894
202001090700,6.2652125,15.172575,23.02816
202001090800,53.34723889,15.3448,23.2178
202001090900,171.43105,15.43026,23.677265
202001091000,297.5892278,15.77755,23.97915
202001091100,407.6225694,16.212115,24.062405
202001091200,486.3025,16.2316,24.16122
202001091300,478.7871528,16.21505,24.258145
202001091400,543.64125,16.1047,24.339015
202001091500,434.7769444,16.06942,24.15969
202001091600,325.5153056,16.134175,23.95486
202001091700,127.7548472,16.096155,23.71664
202001091800,15.92867181,16.65828,23.69033
202001091900,0,17.2142,23.676715
202001092000,0,17.6968,23.73336
202001092100,0,17.9783,23.707785
202001092200,0,18.2488,23.616845
202001092300,0,18.61392,23.373805
202001100000,0,18.77804,23.269675
202001100100,0,18.86087,23.36843
202001100200,0,18.993615,23.43148
202001100300,0,19.313985,23.50546
202001100400,0,19.340165,23.6343
202001100500,0,19.198025,23.6863
202001100600,0,19.45748,23.61526
202001100700,7.712855833,19.563315,23.59866
202001100800,61.94355486,19.6517,23.826925
202001100900,190.3539861,19.73653,24.147055
202001101000,337.6156944,19.76736,24.404625
202001101100,478.8979861,19.82406,24.58236
202001101200,526.9079861,19.88405,24.682825
202001101300,487.1397222,19.897,24.720735
202001101400,375.7015972,19.8583,24.707845
202001101500,390.1627222,19.879415,24.68637
202001101600,251.2896597,20.153345,24.543055
